"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Desodorante Rexona Clinical Aerosol 3x mais proteção","305",7.714286,1.5857142,0.9047619,1.3809524,7.285714,14.333334,8.418821
"Rexona Men Antitranspirante Aerosol Invisible","7506306244184",7.3125,1.6,0.9166667,0,7.2083335,15.458333,8.646008
"DESODORANTE ANTIT EN AEROSOL REXONA FOREST 150ML","7791293037790",5.3999996,1.6266669,0.8,0.4,6.8000007,12.2,8.184889
"Weleda Desodorante Roll-On 24h Men","84700",9.955556,0,1,0,3.5000002,6.7222223,8.823457
"Desodorante para Mujer Dove","75027513",13.190476,0.27142859,0.71428573,0.47619048,12.428572,6.3333335,8.408844
"Desodorante Nivea Aerosol Sensitive Pure","4005808662388",1.1428571,1.4928571,1.1428572,0.071428575,4.857143,9.285714,8.714796
"Desodorante Antitranspirante Roll On Mujer Rexona Clinical Classic","301",4.2857146,0,0,0,2.857143,2.5714288,8.612245
"Desodorante Antitranspirante Aerosol Mujer Rexona Stay Fresh Bamboo & Aloe Vera","7791293036069",6.3043475,1.6043478,0.8695652,0,6.8695655,14.478261,8.69017
"Desodorante Antitranspirante Aerosol Mujer Rexona Cotton Dry","7791293032467",7.851852,1.5481482,0.8888889,0,7.148148,15.74074,8.7711935
"DOVE Desodorante Antitranspirante Stick Original","80466437",14.48,0.37199998,1,0.6,12,8.24,8.53232
"DOVE Desodorante Original sin alcohol anti-transpirante 48h spray","8717163997345",11.479166,2.0083332,0,2.25,9.166666,14.333333,8.365105
"DOVE Desodorante Go Fresh sin alcohol anti-transpirante 48h spray","8717163004869",6.9999995,1.8368422,0,2.1578948,7.263158,13.263158,8.340998
"Desodorante Nivea Spray Fresh Natural","7891177816852",9.166666,0.33333334,0,0,3.3333335,5.111111,8.006173
"DESODORANTE GILLETTE STICK CLEAR GEL COOL WAVE 45G","7500435129947",3.1875,0.15,0.5,1.5,2.5,1.875,8.785937
