"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"ERDE gel hidratante agua termal hamamelis",14,"7791172",1.909091,0,1,0,2.909091,0.72727275,7.3972387
"Casa nera duo ojos mas labios",28,"7791173",3.2608695,0,0,0,1.7391305,1.3913043,7.458536
"Casa nera crema facial ultra liviana",20,"7791174",1.6666667,0,0,0,1.3333334,2.6666667,7.7466836
"TIO NACHO SHAMPOO ANTI DAÑO JALEA REAL MAS ALOE VERA",28,"7791175",12.104167,0.625,0.25,2.8333333,3.1666665,7.875,-0.6783991
"Cuidado integral vegano acondicionador sin BTMS",6,"7791176",1.125,0,0,0,0,2,8.757362
"Cuidado integral vegano crema facial piel mixta",19,"7791177",1.15,0,0,0,1,1.625,8.498894
"Aurora Iluminada iluminador",11,"7791178",2,0,0,0,0.11111111,0.11111111,9.116346
"Aurora libertad rubor y labios",11,"7791179",2,0,0,0,0.11111111,0.11111111,9.116346
"Aurora Fuego rubor y labios",12,"7791180",2,0,0,0,0.5,0.2,8.926361
"Cuidado integral vegano maquillaje turmalina",8,"7791182",1.6,0,0.8,0,1.6000001,1.4000001,7.852722
"Ulubio Acondicionador sólido",8,"7791183",2.2,0,0,0,0,0,9.125183
"Ulubio Serum equilibrio",4,"7791184",1.5,0,0,0,0,0,9.403534
"Landa lapiz labial perlado",17,"7791185",0.46153846,0.41538462,0,0,1.2307693,1.2307693,8.672481
"Landa corrector cremoso",17,"7791186",0.46153846,0.41538462,0,0,1.2307693,1.2307693,8.672481
"Landa MÁSCARA DE PESTAÑAS",20,"7791187",2.04375,0.125,0,0,1.125,2.375,7.7458553
"Neroli cremigel",14,"7791188",1.3636364,0,0,0,0,0.90909094,9.096264
"Neroli contorno de ojos",10,"7791189",0.42857146,0,0,0,0,0.2857143,9.715968
"Toro Blanco Iluminador",8,"7791190",0.06666667,0,0,0,0.8333333,1.5,9.045654
"Toro Blanco corrector",8,"7791191",1.6,0.16000001,0,0,1.2,0.4,8.663916
"Neroli Limpiador pieles secas",12,"7791192",0,0,0,0,1.625,0.25,9.254417
"Neroli Tónico de pieles secas",9,"7791193",1.3333334,0,0,0,0,0.5,9.270986
"Neroli contorno de ojos desinflamante",12,"7791194",1.75,0,0,0,0.375,0,9.155006
